group	whole_count	whole_all
4-Hydroxyphenylacetate decarboxylase subunit gamma N-terminal	81	7270730
CotJB protein	3212	7270730
Ferritin-like Superfamily	2405	7270730
Cysteine-rich small domain	1212	7270730
ATP synthase	11874	7270730
YtxH-like protein	5063	7270730
Stage VI sporulation protein F	623	7270730
Sporulation protein Cse60	723	7270730
Toxin SymE	899	7270730
SigmaK-factor processing regulatory protein BofA	2143	7270730
SRP54-type protein	59	7270730
Hexapeptide repeat superfamily	20892	7270730
Putative F0F1-ATPase subunit Ca2+/Mg2+ transporter	14146	7270730
His-Me finger endonuclease superfamily	12923	7270730
Uncharacterized protein conserved in bacteria (DUF2325)	1360	7270730
PUA/ASCH superfamily	10430	7270730
Spore coat associated protein JA (CotJA)	2409	7270730
WXG100-A/WXG100-B dimer	5451	7270730
Drug/Metabolite transporter superfamily	9180	7270730
Flagellar and Swarming motility proteins	3680	7270730
Superinfection immunity protein	1587	7270730
Putative Se/S carrier protein-like	5769	7270730
PspC domain	11299	7270730
TrbC/VirB2 pilin superfamily	5022	7270730
ATP synthase (F/14-kDa) subunit	1248	7270730
YbaB superfamily	7491	7270730
Putative motility protein	1385	7270730
MTH1187/YkoF-like superfamily	3027	7270730
SHOCT superfamily	20102	7270730
Putative lactococcus lactis phage r1t holin	2313	7270730
all-alpha NTP pyrophosphohydrolase superfamily	10451	7270730
PD-(D/E)XK nuclease superfamily	7927	7270730
CO dehydrogenase accessory protein CooT	2527	7270730
RNA polymerase epsilon subunit	266	7270730
Cysteine-rich KTR	1431	7270730
Flagellar basal body rod FlgEFG protein C-terminal	6888	7270730
Barstar (barnase inhibitor)	2472	7270730
LysM-like domain	23678	7270730
CAT RNA binding domain	112	7270730
YlbE-like protein	351	7270730
Smr domain	12707	7270730
Translation proteins of Elongation Factors superfamily	3362	7270730
Uncharacterized protein conserved in bacteria (DUF2312)	5106	7270730
Type III flagellar switch regulator (C-ring) FliN C-term	10463	7270730
Bacteriophage holin	2760	7270730
Anti-sigma-28 factor	3812	7270730
Clostridial hydrophobic W	335	7270730
Uncharacterized protein conserved in bacteria (DUF2065)	5923	7270730
GMP synthase C terminal domain	5536	7270730
Glycosyl hydrolase domain superfamily	24052	7270730
NVEALA protein	910	7270730
Porphobilinogen deaminase	3486	7270730
HipA N-terminal domain	199	7270730
RimP N-terminal domain	448	7270730
AhpD-like superfamily	4810	7270730
ORF6N domain	361	7270730
Putative antitoxin YutD-like	433	7270730
MBH	2804	7270730
GlnB-like superfamily	30977	7270730
Nitrous oxide-stimulated promoter	443	7270730
Putative zinc ribbon domain	2445	7270730
Polymyxin resistance protein PmrD	55	7270730
Acylphosphatase/BLUF domain-like superfamily	19013	7270730
Cobalamin synthesis protein cobW C-terminal domain	3090	7270730
"N-terminal, cytoplasmic domain of anti-sigma factor superfamily"	12356	7270730
KOW domain	13337	7270730
Recombinase	289	7270730
Tudor domain 'Royal family'	13428	7270730
Novel toxin 21	35	7270730
Primosomal protein N C-terminal domain	3979	7270730
tRNA-binding arm superfamily	9615	7270730
Toxin GhoT_OrtT	75	7270730
RyR domain	1012	7270730
DUF1304/DUF3784 clan	575	7270730
FAD/NAD(P)-binding Rossmann fold Superfamily	5473	7270730
NAD-dependent DNA ligase C4 zinc finger domain	45	7270730
Small acid-soluble spore protein H family	330	7270730
Homing endonuclease associated repeat	471	7270730
C-terminal region of peptidase_M24	4600	7270730
The GLUG motif	9	7270730
Spo0E like sporulation regulatory protein	1097	7270730
EF-hand like superfamily	18341	7270730
Inner membrane component domain	2021	7270730
GtrA-like protein	313	7270730
BhlA holin family	445	7270730
Asp23 family	1036	7270730
CW_7 repeat	1276	7270730
Double-Glycine leader-peptide cleavage motif	173	7270730
PRD domain superfamily	562	7270730
Interferon-induced transmembrane protein	920	7270730
ATP-dependent DNA helicase RecG	3269	7270730
S-layer homology domain	8965	7270730
YbjQ-like superfamily	1628	7270730
BRCT like	11031	7270730
Malonate decarboxylase delta subunit (MdcD)	2019	7270730
Immunity protein 17	325	7270730
Branched-chain amino acid transport protein (AzlD)	2111	7270730
Double Psi beta barrel glucanase	5011	7270730
UDP-N-acetylenolpyruvoylglucosamine reductase	2415	7270730
Ribosomal protein S5 domain 2-like superfamily	873	7270730
DSRM-like clan	6428	7270730
Putative transposon-transfer assisting protein	4634	7270730
ABC transporter C-terminal domain	5915	7270730
H-type lectin domain	257	7270730
Loader and inhibitor of phage G40P	60	7270730
Acetyl-decarboxylase like superfamily	1406	7270730
GYF domain	739	7270730
YqbG-like superfamily	929	7270730
HAD superfamily	21513	7270730
Uncharacterized protein conserved in bacteria (DUF2129)	293	7270730
DNA gyrase B subunit	14756	7270730
Class II aaRS Anticodon-binding domain-like	11302	7270730
TraL protein	555	7270730
Sigma-54 factor	31	7270730
Arginine repressor	5354	7270730
HRDC-like superfamily	4001	7270730
beta-N-acetylhexosaminidase-like domain	7	7270730
Phage tail assembly chaperone	1808	7270730
Translation initiation factor IF-3	3832	7270730
Small integral membrane protein (DUF2273)	657	7270730
LPXTG cell wall anchor motif	5014	7270730
YSIRK type signal peptide	137	7270730
PilZ domain	6560	7270730
Tryptophan-rich protein (DUF2389)	1083	7270730
KTSC domain	7163	7270730
Peptidase MD	1816	7270730
Hexameric tyrosine-coordinated heme protein (HTHP)	525	7270730
Uncharacterized conserved protein (DUF2277)	10430	7270730
Pup-like protein	2285	7270730
FMN-binding domain	4710	7270730
Shikimate 5'-dehydrogenase C-terminal domain	9647	7270730
Putative transposase of IS4/5 family (DUF4096)	1084	7270730
Antirestriction protein Ral	17	7270730
YozE SAM-like fold	678	7270730
Phenol-soluble modulin beta protein	74	7270730
Peptidase clan CA	2371	7270730
D-Ala-teichoic acid biosynthesis protein	162	7270730
DinI-like family	615	7270730
YvrJ protein family	1248	7270730
Staphylococcal AgrD protein	30	7270730
YpzG-like protein	25	7270730
ComZ	42	7270730
Uncharacterized small protein (DUF2292)	1934	7270730
YpzI-like protein	48	7270730
YppF-like protein	44	7270730
Beta propeller clan	28263	7270730
2TM domain	1654	7270730
Hemin uptake protein hemP	2594	7270730
BON domain	9566	7270730
Iron-binding zinc finger CDGSH type	7479	7270730
Pterin 4 alpha carbinolamine dehydratase	11866	7270730
yiaA/B two helix domain	963	7270730
MbtH-like protein	2717	7270730
Killing trait	382	7270730
Uncharacterized conserved protein (DUF2164)	1843	7270730
Alternative ribosome-rescue factor A	365	7270730
Acyl-CoA carboxylase epsilon subunit	1025	7270730
Transcriptional activator HlyU	659	7270730
DsrEFH-like superfamily	2116	7270730
Cytochrome oxidase maturation protein cbb3-type	6417	7270730
ANTAR domain	8609	7270730
Bor protein	418	7270730
BssS protein family	106	7270730
YcgL domain	1405	7270730
YnbE-like lipoprotein	1778	7270730
Ribosome modulation factor	310	7270730
Phage holin family 2	119	7270730
YfcL protein	220	7270730
CRISPR-associated protein (Cas_Cas2CT1978)	648	7270730
Galactose-binding domain-like superfamily	777	7270730
Pyocin activator protein PrtN	586	7270730
Protealysin propeptide	5	7270730
Cyd operon protein YbgE (Cyd_oper_YbgE)	294	7270730
DNA polymerase III	284	7270730
Phenylacetic acid degradation B	2232	7270730
Putative addiction module component	13450	7270730
P-loop containing nucleoside triphosphate hydrolase superfamily	90552	7270730
tRNA pseudouridine synthase C	57	7270730
Membrane transport protein MerF	528	7270730
Rv0078B-related antitoxin	171	7270730
MmoB/DmpM family	646	7270730
Conjugal transfer protein TraD	839	7270730
Heat-stable enterotoxin ST	7	7270730
YdfZ protein	55	7270730
Type III secretion system	47	7270730
1-carboxybiuret hydrolase subunit AtzG-like	1615	7270730
Haemolysin expression modulating protein	197	7270730
Regulatory phage protein cox	48	7270730
Bacteriophage 186	105	7270730
MT0933-like antitoxin protein	1319	7270730
Excalibur calcium-binding domain	1024	7270730
Alpha/Beta hydrolase fold	478	7270730
CBS domain	40027	7270730
SMAD/FHA domain superfamily	11728	7270730
PPE-PPW subfamily C-terminal region	86	7270730
Putative holin	150	7270730
Uncharacterized protein conserved in bacteria (DUF2218)	735	7270730
Conjugal transfer protein TrbE	41	7270730
Lipopolysaccharide assembly protein A domain	2547	7270730
CTX phage RstB protein	9	7270730
PepSY domain-like superfamily	7343	7270730
Glycosyl transferase family	70	7270730
Acyl-coenzyme A oxidase/dehydrogenase N-terminal	7	7270730
Lysozyme inhibitor LprI	483	7270730
Elongation factor Tu C-terminal domain	3484	7270730
Type III secretion system domain superfamily	316	7270730
ChaB	1551	7270730
ChpA-C	182	7270730
Rv2632c-like	722	7270730
Cbb3-type cytochrome oxidase component FixQ	4452	7270730
Immunity protein 31	26	7270730
Two-component Enterococcus faecalis cytolysin (EFC)	19	7270730
Post-transcriptional regulator	227	7270730
Bacterial aa3 type cytochrome c oxidase subunit IV	1498	7270730
Uncharacterized protein conserved in bacteria (DUF2093)	4694	7270730
Prokaryotic Cytochrome C oxidase subunit IV	4017	7270730
PqqA family	1312	7270730
Enterocin A Immunity	213	7270730
Bacteriocin-protection	5322	7270730
Toxin PAAR-like domain	98	7270730
Putative nuclease YbcO	586	7270730
Host-nuclease inhibitor protein Gam	16	7270730
Antenna complex alpha/beta subunit	1533	7270730
YebG protein	290	7270730
IS66 C-terminal element	10023	7270730
WYL-like superfamily	3995	7270730
YlzJ-like protein	279	7270730
Cold-inducible protein YdjO	96	7270730
YfhE-like protein	22	7270730
YrzO-like protein	5	7270730
AbrB C-terminal domain	211	7270730
YesK-like protein	27	7270730
Bacillus PapR protein	4	7270730
SPP1 phage holin	1354	7270730
Probable sporulation protein (Bac_small_yrzI)	96	7270730
Spore germination protein gerPA/gerPF	224	7270730
Prokaryotic N-terminal methylation motif	910	7270730
Proteolipid membrane potential modulator	2135	7270730
YgaB-like protein	49	7270730
Multiple resistance and pH regulation protein F (MrpF / PhaF)	8709	7270730
Probable cobalt transporter subunit (CbtB)	2371	7270730
subdomain	1601	7270730
Metal binding domain of Ada	408	7270730
Bacterial toxin 50	55	7270730
Phage terminase	548	7270730
Putative 3TM holin	250	7270730
Predicted membrane protein (DUF2061)	5818	7270730
phosphotransferase system	1445	7270730
Uncharacterized protein conserved in bacteria (DUF2087)	1456	7270730
Phage-like element PBSX protein XtrA	56	7270730
Putative phage holin Dp-1	3371	7270730
Putative Holin-like Toxin (Hol-Tox)	200	7270730
Fur-regulated basic protein A	97	7270730
Cysteine-rich CPCC	458	7270730
YqbF	10	7270730
Mother cell inhibitor of FtsZ	35	7270730
Uncharacterized conserved protein (DUF2196)	3091	7270730
DicB protein	32	7270730
Bacteriophage lambda Kil protein	23	7270730
Lambda Phage CIII	32	7270730
Bacteriophage P22	43	7270730
Iron-sulphur cluster biosynthesis	1852	7270730
Pentapeptide repeat	4694	7270730
Type IV secretory pathway	2495	7270730
Phage P2 GpE	142	7270730
NINE Protein	11	7270730
Phage minor tail protein	89	7270730
Photosystem II reaction centre X protein (PsbX)	299	7270730
Hypothetical chloroplast protein Ycf34	176	7270730
Hydrophilin-like superfamily	1728	7270730
Photosystem I protein M (PsaM)	132	7270730
Electron transport accessory protein superfamily	724	7270730
Photosystem I reaction centre subunit VIII	169	7270730
LcrG protein	13	7270730
Putative 2/3 transmembrane domain holin	61	7270730
HdeA/HdeB family	866	7270730
Colicin immunity protein / pyocin immunity protein	344	7270730
DNA-binding protein VF530	3377	7270730
Anti-sigma factor NepR	3462	7270730
Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region	2803	7270730
Phage Conserved Open Reading Frame 51	13	7270730
Rop protein	215	7270730
YueH-like protein	46	7270730
Agrobacterium tumefaciens protein Atu4866	173	7270730
Putative zinc- or iron-chelating domain	892	7270730
YobH-like protein	102	7270730
Cellulose biosynthesis protein BcsR	144	7270730
Outer membrane beta-barrel protein superfamily	704	7270730
Ring-finger/U-box superfamily	6609	7270730
Gas vesicle protein	3521	7270730
RNA polymerase-binding protein	119	7270730
Transthyretin superfamily	7850	7270730
Mobile element transfer protein	46	7270730
Small acid-soluble spore protein O family	37	7270730
YqzM-like protein	70	7270730
YrhC-like protein	46	7270730
YtzH-like protein	42	7270730
Minor curli fiber component A	25	7270730
YuzL-like protein	52	7270730
Spore germination GerPB	44	7270730
Sporulation protein YhaL	54	7270730
Antitoxin Xre/MbcA/ParS C-terminal toxin-binding domain	3495	7270730
YebO-like protein	145	7270730
Uncharacterized protein conserved in bacteria (DUF2197)	92	7270730
Uncharacterized small protein (DUF2158)	1045	7270730
Bacterial self-protective colicin-like immunity	129	7270730
Cellulose biosynthesis protein BcsF	87	7270730
IDEAL domain	248	7270730
Uncharacterized protein conserved in bacteria (DUF2187)	139	7270730
Uncharacterized protein conserved in bacteria (DUF2198)	82	7270730
Phage tail beta-barrel superfamily	76	7270730
WGR domain	1156	7270730
Antirestriction protein	154	7270730
DDE_Tnp_1-associated	141	7270730
N-(deoxy)ribosyltransferase-like superfamily	939	7270730
Type A lantibiotic family	2	7270730
CdiI immunity protein	168	7270730
YjzC-like protein	402	7270730
YqzH-like protein	31	7270730
Transposase DNA-binding	93	7270730
NTF2 fold immunity protein	200	7270730
Cloacin immunity protein	98	7270730
PerC transcriptional activator	52	7270730
Cysteine-rich CPXCG	3616	7270730
Photosystem II reaction centre T protein	79	7270730
Photosystem II complex subunit Ycf12	173	7270730
CpcD/allophycocyanin linker domain	239	7270730
LysE transporter superfamily	3181	7270730
YtpI-like protein	26	7270730
YlaH-like protein	25	7270730
Photosystem II reaction centre I protein (PSII 4.8 kDa protein)	94	7270730
Protein CHLORORESPIRATORY REDUCTION 7	274	7270730
F subunit of K+-transporting ATPase (Potass_KdpF)	1071	7270730
Cyanobacterial and plant NDH-1 subunit O	295	7270730
Beta-tent fold	4068	7270730
YCF9	463	7270730
PLC-like phosphodiesterases	5615	7270730
PhoU-like superfamily	4901	7270730
lambda integrase N-terminal domain	1023	7270730
Type-F conjugative transfer system pilin chaperone (TraQ)	24	7270730
YgaC/TfoX-N like superfamily	5177	7270730
DpnD/PcfM-like protein	1746	7270730
Choline binding repeat superfamily	3360	7270730
Tetracycline resistance determinant leader peptide	2	7270730
DNA gyrase C-terminal domain	14570	7270730
YycC-like protein	60	7270730
DNA-directed RNA polymerase subunit beta	158	7270730
Hypothetical protein Yqai	12	7270730
Antitoxin SpoIISB	5	7270730
Small spore protein J (Spore_SspJ)	5	7270730
Late competence development protein ComFB	1323	7270730
YhzD-like protein	105	7270730
Fur-regulated basic protein B	82	7270730
Small acid-soluble spore protein N family	36	7270730
Anti-sigma-F factor Fin	115	7270730
Inhibitor of sigma-G Gin	174	7270730
Transcriptional activator RinB	124	7270730
Replication initiation and membrane attachment	447	7270730
Transcriptional regulator	11	7270730
Fumarase C C-terminus	14379	7270730
TolA/TonB C-terminal	23339	7270730
Transcriptional regulator protein (SplA)	51	7270730
YjbD family (DUF3811)	63	7270730
Holin superfamily III	197	7270730
Iron-sulfur binding domain of endonuclease III	2809	7270730
TrkA C-terminal domain-like	16109	7270730
Prokaryotic diacylglycerol kinase	498	7270730
PTS system	429	7270730
IS66 Orf2 like protein	2947	7270730
Nickel/cobalt transporter regulator	747	7270730
AMP-binding enzyme C-terminal domain superfamily	37664	7270730
Photosystem II reaction centre M protein (PsbM)	144	7270730
LEM/SAP HeH motif	2656	7270730
TilS substrate binding domain	244	7270730
NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	7940	7270730
High potential iron-sulfur protein	574	7270730
Pas factor saposin fold	15	7270730
Outer membrane lipoprotein virB7	4	7270730
"TetR protein, C-terminal domain-like"	1909	7270730
H-NS histone family	911	7270730
Phage regulatory protein Rha (Phage_pRha)	74	7270730
WVELL protein	80	7270730
Accessory secretory protein Sec Asp4	24	7270730
GnsA/GnsB toxin of bacterial toxin-antitoxin system	38	7270730
NETI protein	128	7270730
HSP20-like chaperone superfamily	8891	7270730
Endoribonuclease GhoS	98	7270730
RBP11-like subunits of RNA polymerase	1672	7270730
Histone superfamily	2067	7270730
Uncharacterized protein conserved in archaea (DUF2098)	194	7270730
MTH865-like family	217	7270730
Transcription factor Pcc1	1261	7270730
Class III signal peptide	229	7270730
EMC6	101	7270730
Uncharacterized protein conserved in archaea (DUF2097)	118	7270730
Pseudomurein-binding repeat	148	7270730
Nucleolar RNA-binding protein	682	7270730
MJ1316 RNA cyclic group end recognition domain	625	7270730
Tetrahydromethanopterin S-methyltransferase	366	7270730
YhdB-like protein	49	7270730
Pilus subunit	1495	7270730
Rod binding protein	1997	7270730
Predicted metal-binding protein (DUF2103)	375	7270730
Lumenal portion of Cytochrome b559	275	7270730
Cytochrome b559	403	7270730
Bacteriophage protein K	1	7270730
Protein of unknwon function (DUF3310)	18222	7270730
Type II secretory pathway pseudopilin	99	7270730
FERM middle domain superfamily	2898	7270730
YqzL-like protein	168	7270730
Cytochrome b5-like Heme/Steroid binding domain	1265	7270730
HIRAN domain	309	7270730
Oxidoreductase-like protein	275	7270730
Cytochrome c superfamily	21665	7270730
Phenol hydroxylase subunit	304	7270730
Sensor_kinase_SpoOB-type	13	7270730
ATP cone domain	1494	7270730
Yip1/YIF1-like	43	7270730
OAA-family lectin sugar binding domain	6	7270730
Conjugative transfer region protein TrbK	126	7270730
Tryptophan RNA-binding attenuator protein	426	7270730
Putative toxin of bacterial toxin-antitoxin pair	389	7270730
Hypoxia induced protein conserved region	3050	7270730
DAHP synthase ferredoxin-like domain	120	7270730
Multiheme cytochrome superfamily	1935	7270730
NifT/FixU protein	468	7270730
Protein of unknwon function (DUF3008)	1039	7270730
CcmD family protein	737	7270730
PDGLE domain	558	7270730
Exopolysaccharide production repressor	55	7270730
SWIB/MDM2 domain	5250	7270730
Prokaryotic Transcriptional repressor TraM	10	7270730
Na+/H+ antiporter subunit	1415	7270730
"L,D-transpeptidase catalytic domain"	557	7270730
Stage V sporulation protein family	10	7270730
DNA-A N-terminal domain-like superfamily	854	7270730
Cytochrome c oxidase subunit IIa family	55	7270730
CheY-like superfamily	3768	7270730
CP12 domain	899	7270730
Low psii accumulation1 / Rep27	237	7270730
NADH dehydrogenase transmembrane subunit	209	7270730
SEC-C motif	11606	7270730
Rop-like	472	7270730
YqzE-like protein	63	7270730
YfhD-like protein	54	7270730
Anti-sigma factor CnrY	4	7270730
Rieske-like iron-sulphur domain	3132	7270730
EsV-1-7 cysteine-rich motif	23	7270730
Phage virion morphogenesis superfamily	4947	7270730
HotDog superfamily	11292	7270730
Gas vesicle protein K	648	7270730
Urease	753	7270730
YrhK-like protein	247	7270730
ParB-like superfamily	534	7270730
Inovirus (filamentous phage) major coat protein	141	7270730
NADH dehydrogenase ubiquinone Fe-S protein 4	2449	7270730
Sporulation protein YtrH	2	7270730
YhfH-like protein	71	7270730
Uncharacterized YkpC-like	5	7270730
Sporulation inhibitor A	93	7270730
Small acid-soluble spore protein P family	39	7270730
Membrane-integrating protein Mistic	9	7270730
CI-2 family of serine protease inhibitors	990	7270730
Sigma-70 factor	139	7270730
Flagellar protein FliT	446	7270730
Transmembrane di-heme cytochrome superfamily	379	7270730
TRL-like protein family	543	7270730
AIG2/ChaC-like superfamily	668	7270730
Phage antirepressor protein KilAC domain	560	7270730
SPW repeat	485	7270730
Lysozyme-like superfamily	1400	7270730
Chaperone J-domain superfamily	6026	7270730
YozD-like protein	39	7270730
YvfG protein	12	7270730
SR1 protein	41	7270730
Small acid-soluble spore protein K family	46	7270730
YjgF-like superfamily	1678	7270730
Pectate lyase-like beta helix	2595	7270730
Adenylate kinase	2124	7270730
Copper resistance protein D	338	7270730
Uncharacterized conserved protein (DUF2285)	254	7270730
Putative transmembrane protein (PGPGW)	1906	7270730
Type III secretion needle MxiH	146	7270730
Flagella basal body rod protein	118	7270730
Inhibitor of glucose uptake transporter SgrT	11	7270730
TraC-like protein	117	7270730
BA14K-like protein	370	7270730
Class II bacteriocin	47	7270730
Phasin protein	1046	7270730
Glycogen synthesis protein	52	7270730
Uncharacterized ArCR	660	7270730
UBA superfamily	10826	7270730
RNA polymerases N / 8 kDa subunit	2586	7270730
EF-1 guanine nucleotide exchange domain	1869	7270730
Chromatin protein Cren7	42	7270730
Non-histone chromosomal protein MC1	298	7270730
Translation initiation factor SUI1	2366	7270730
Predicted membrane protein (DUF2107)	95	7270730
Uncharacterized conserved protein (DUF2149)	405	7270730
Glutamyl-tRNAGlu reductase	1103	7270730
Putative transposon-encoded protein (DUF2080)	604	7270730
Predicted membrane protein (DUF2108)	129	7270730
AF2212-like	982	7270730
Pseudouridine synthase superfamily	1393	7270730
Predicted membrane protein (DUF2109)	114	7270730
Amphi-Trp domain	530	7270730
